metro,medloan,jobsretained,zpop,n_loan,n_dentists,med_cap,jobs_cap,loan_cap,dent_ca
0,861039091.9296875,76668,32001907,10046,68992,26.905869,239.57323,31.39188,215.58716
1,7847832099.101486,645791,209387389,86790,8887462,37.479965,308.41925,41.449486,4244.5068
