rural,medloan,jobsretained,zpop,n_loan,n_dentists,med_cap,jobs_cap,loan_cap,dent_ca
0,8687105396.028,720283,240487996,96503,8955446,36.122822,299.50891,40.127991,3723.864
1,21765795.00317383,2176,901300,333,1008,24.149334,241.42905,36.946632,111.83846
